STT,Mã Nhóm,Tên Nhóm Sản Phẩm,Tồn Đầu SL,Tồn Đầu VNĐ,Tổng Tiền Nhập VNĐ,Tổng Tiền Xuất HĐ VNĐ,Tổng Tiền Giá Vốn VNĐ,Tồn Cuối SL,Tồn Cuối VNĐ,Nhập T1 VNĐ,Xuất T1 VNĐ,Nhập T2 VNĐ,Xuất T2 VNĐ,Nhập T3 VNĐ,Xuất T3 VNĐ,Nhập T4 VNĐ,Xuất T4 VNĐ,Nhập T5 VNĐ,Xuất T5 VNĐ,Nhập T6 VNĐ,Xuất T6 VNĐ,Nhập T7 VNĐ,Xuất T7 VNĐ,Nhập T8 VNĐ,Xuất T8 VNĐ,Nhập T9 VNĐ,Xuất T9 VNĐ,Nhập T10 VNĐ,Xuất T10 VNĐ,Nhập T11 VNĐ,Xuất T11 VNĐ,Nhập T12 VNĐ,Xuất T12 VNĐ
1.0,CAM-WIFI-2M,Camera WiFi 2MP,534.0,239133509.0,177733633.0909069,171010787.0,244019700.6299747,476.0,172847441.4609323,19700000.01007612,579000.0,41283636.02111568,0.0,4300000.002199356,17272727.0,20281822.01037371,4918181.0,18122727.00926938,19163637.0,13240901.00677243,7994546.0,0.0,25090918.0,14361820.00734576,395455.0,13227273.00676546,0.0,7601818.003888164,48245454.0,16345455.00836034,2563636.0,9268181.004740473,44787233.0
2.0,HDD-1TB,HDD 1TB+,176.0,194884968.0,120059082.0614076,138985462.0,176599875.1944997,153.0,138344174.8669079,0.0,17618182.0,0.0,8381819.0,1954545.000999707,5832727.0,809091.0004138324,9654545.0,7727273.003952332,0.0,31754542.01624176,1090909.0,16000000.00818365,5454546.0,7986364.004084851,11627273.0,5218180.002668985,13700001.0,11918183.00609589,18163637.0,6545455.003347858,23136369.0,30145449.01541874,24325454.0
3.0,INK-BRO-2385,Hộp mực Brother TN-2385,247.0,107960081.0,174163501.0890808,23181821.0,28346275.28228261,594.0,253777306.8067982,74641500.0381775,509091.0,14404500.00736759,2536363.0,21825001.01116301,1227273.0,63292500.03237274,863635.0,0.0,2018182.0,0.0,409091.0,0.0,1409090.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,872728.0,0.0,12836368.0
4.0,INK-CAN-12A,Hộp mực Canon 12A / 303,1034.0,152131893.0,67740734.03464791,108320918.0,120498598.2512821,870.0,99374028.78336582,0.0,2018183.0,6560000.003355297,5009092.0,6560000.003355297,2209091.0,0.0,1418182.0,0.0,2818182.0,5360000.002741523,972728.0,0.0,763637.0,3327280.001701831,1281818.0,6538182.003344137,781818.0,7195272.003680225,16668182.0,4790909.002450446,7327274.0,27409091.01401915,67052731.0
5.0,INK-CAN-35A,Hộp mực Canon 35A / 85A,51.0,17081396.0,22278956.0113952,7391817.0,7719309.318043293,101.0,31641042.69335191,0.0,0.0,520000.0002659687,0.0,4363636.002231904,0.0,0.0,0.0,59090.00003022324,227272.0,0.0,0.0,250000.0001278695,0.0,1172727.000599824,363636.0,618182.0003161866,0.0,1320056.00067518,300000.0,8739943.00447029,845454.0,5235322.002677753,5655455.0
6.0,INK-EPS-003,Mực nước Epson 003,7.0,206942.0,381816.0001952905,0.0,0.0,19.0,588758.0001952905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254544.0001301937,0.0,0.0,0.0,127272.0000650969,0.0
7.0,KB-OFF,Bàn phím Văn phòng,1307.0,167102691.0,146916764.0838386,134668179.0,171510139.5168922,1408.0,142509315.5669464,0.0,4990910.0,8590910.004394064,4018182.0,7163636.003664044,8945451.0,0.0,3363638.0,1431819.000732344,1481818.0,9091121.885009062,5004546.0,6709999.003432018,2668182.0,0.0,2509088.0,11454500.00585873,2918181.0,15056598.13603588,49749998.0,14300000.00731414,6554552.0,73118180.03739835,42463633.0
8.0,LCD-DELL-19,Màn hình DELL 19 inch,57.0,61350147.0,56111901.5129016,55236362.0,50908380.45002413,77.0,66553668.06287745,0.0,8200000.0,27584146.49831027,0.0,517950.0002649201,10090909.0,1071922.000548265,4954545.0,465881.000238288,3236364.0,1153820.000590154,4381819.0,0.0,0.0,0.0,4590909.0,0.0,0.0,0.0,1500000.0,8545455.004370814,5081816.0,16772727.00857888,13200000.0
9.0,LCD-DELL-22,Màn hình DELL 22 inch,1344.0,594573864.0,527980136.953986,567185688.0,250681901.2818914,2822.0,871872099.6720945,24079549.01231616,71727273.0,-74886617.52250445,23118182.0,155969107.0738921,91554544.0,21598559.01104719,25536363.0,39042669.26024368,24018181.0,79169668.04049356,38890910.0,33774690.01727502,65572725.0,-4385759.00224322,33081819.0,106792715.0640931,41483669.0,59023078.03018901,15278788.0,42894832.02193977,58186869.0,44907645.94724409,78736365.0
10.0,LCD-DELL-24,Màn hình DELL 24 inch,492.0,890568470.0,507240574.7659386,676690005.0,748394334.1501707,466.0,649414710.615768,0.0,24536364.0,109827272.0561742,30845455.0,101772728.0520545,111672729.0,0.0,56836364.0,17999999.00920661,28154546.0,14818182.00757918,39836364.0,37278178.01906697,47800001.0,83347411.55859749,65799999.0,28260440.00498363,60745453.0,4909091.002510893,52381819.0,48009091.0245556,30990909.0,61018182.03120947,127090002.0
