Ngày,Số HĐ,Diễn giải,TK Đ/Ứ,Nợ,Có
2023-01-02,5,Phần mềm Kaspersky KL1941MCCFS,131,0,650000.0
2023-01-02,6,Hộp mực in Ecoplus 12A,131,0,109091.0
2023-01-02,2,Máy in laser Brother HL-L2321D,131,0,73090909.0
2023-01-02,2,MÀN HÌNH VI TÍNH (LCD) LENOVO C22-20 21.5INCH/1920 x 1080/75Hz/VGA/HDMI/ĐEN/3Y(62A7KAR1WW),131,0,54545454.0
2023-01-02,1,"Máy tính bàn Lenovo Desktop ThinkCentre M70a Gen 3 -i3-12100 ( 4.3 GHZ) - 8GB RAM - 256GB SSD - 21.5 inch FHD -1Yr, P/n 11VL0000VA",131,0,13536364.0
2023-01-02,3,Máy in đa chức năng Brother MFCL2701D,131,0,23318182.0
2023-01-02,4,Máy đếm tiền Mazsan MS - 5700C,131,0,2731482.0
2023-01-02,2,MÁY TÍNH ĐỂ BÀN (PC) LENOVO ThinkCentre neo 50s Gen 3 i5- 12400(6*2.5)/8GD4/256GSSD/WL/BT/KB/M/W11/ĐEN( 11T0004UVN),131,0,10272727.0
2023-01-02,3,Máy in laser Brother HL-L2321D,131,0,48727273.0
2023-01-03,7,Máy in bill Epson TM-T82 III,131,0,10063636.0
2023-01-03,8,Bộ máy vi tính,131,0,15136364.0
2023-01-04,9,Loa SoundMax A130,131,0,109091.0
2023-01-04,9,Chuột máy tính  Logitech B100,131,0,63636.0
2023-01-04,9,Bàn phím Logitech K120,131,0,136364.0
2023-01-04,12,"Màn hình LCD Dell P3421W 34""",131,0,12718182.0
2023-01-04,11,Chuột vi tính có dây Rapoo N100,131,0,318182.0
2023-01-04,11,Bàn phím Keyboard NK2500,131,0,700000.0
2023-01-04,11,Loa SoundMax A710/2.1,131,0,1090909.0
2023-01-04,11,Máy  in Brother HL-L2321D,131,0,2436364.0
2023-01-04,10,Bộ chuyển đổi mini Displayport sang VGA + HDMI màu trắng Ugreen ( 10427),131,0,381818.0
2023-01-05,13,Hộp mực in Izinet 12A,131,0,336364.0
2023-01-05,15,Hộp mực  in Ecoplus 12A,131,0,118182.0
2023-01-05,14,Hộp mực in Izinet 12A,131,0,636364.0
2023-01-05,14,Mực Laser TN-2385 Brother,131,0,509091.0
2023-01-06,16,"Thiết bị định tuyến TP-Link 450M,2.4GHz,TL-WR940N",131,0,390909.0
2023-01-06,16,"Thiết bị thu phát vô tuyến băng tần  2,4/5 Ghz , TPLINK  ARCHER AX23",131,0,1227273.0
2023-01-08,21,MÁY TÍNH BỘ PC DELL INSPIRON 3910 CORE I5,131,0,16000000.0
2023-01-08,20,Bàn phím Keyboard NK2500,131,0,1090910.0
2023-01-08,20,Chuột vi tính có dây  Rapoo N100,131,0,1000000.0
2023-01-08,20,Thẻ nhớ Micro SD+Adaptor Hikvision HS-TF-C1/32GB,131,0,581820.0
2023-01-08,17,Máy  In Canon Laser LBP-2900,131,0,3627273.0
2023-01-08,20,Vỏ thùng máy tính  Jetek A30,131,0,1363635.0
2023-01-08,19,Máy  in Brother DCP-B7535DW,131,0,5072727.0
2023-01-08,18,Dây USB 3.0 nối dài 1.5m Ugreen (30126),131,0,118182.0
2023-01-08,18,Bàn phím  Keyboard NK2500,131,0,254545.0
2023-01-09,24,Hộp mực  in Ecoplus 12A,131,0,236364.0
2023-01-09,26,"Thiết bị chuyển mạch TP-Link,TL-SF1024D",131,0,800000.0
2023-01-09,22,"Ổ cứng  Seagate Expansion 1TB 2.5""",131,0,1136364.0
2023-01-09,23,MÁY TÍNH ĐỂ BÀN HP 280 PRO G9 SFF 72K92PA  -Intel Core i5-12500,131,0,12400000.0
2023-01-09,25,Mực  in phun Brother BT5000Y,131,0,168182.0
2023-01-09,27,Máy in phun đa năng Brother DCPT226 (màu trắng),131,0,3445455.0
2023-01-09,25,Mực  in phun Brother BT5000M,131,0,168182.0
2023-01-10,28,MÀN HÌNH LCD 23.8 Inch LENOVO THINKVISION S24e-20 (62AEKAR2WW),131,0,11818182.0
2023-01-10,28,MÁY TÍNH ĐỂ BÀN (PC) LENOVO ThinkCentre neo 50sGen 3 i5- 12400(6*2.5)/4GD4/256GSSD/WL/BT/KB/M/NoOS/ĐEN(11T000AXVA),131,0,18909091.0
2023-01-10,29,"Máy tính bàn Lenovo Desktop ThinkCentre M70a Gen 3 -i3-12100 ( 4.3 GHZ) - 8GB RAM - 256GB SSD - 21.5 inchFHD -1Yr, P/n 11VL0000VA",131,0,13536364.0
