Ngày,Số HĐ,Diễn giải,TK Đ/Ứ,Nợ,Có
2023-01-05,1967,THU PHI CT ACB,1121,23000.0,23000.0
2023-01-05,1967,Thuế GTGT: THU PHI CT ACB,1331,0.0,2300.0
2023-01-10,5177,Thuế GTGT: THU PHI CT Vietcombank,1331,0.0,2300.0
2023-01-10,5177,THU PHI CT Vietcombank,1121,23000.0,23000.0
2023-01-12,7663,Thuế GTGT: THU PHI CT ACB,1331,0.0,2300.0
2023-01-12,7663,THU PHI CT ACB,1121,23000.0,23000.0
2023-01-15,8318,Thuế GTGT: THU PHI CT Vietcombank,1331,0.0,2300.0
2023-01-15,8318,THU PHI CT Vietcombank,1121,23000.0,23000.0
2023-01-16,9697,Thuế GTGT: THU PHI CT ACB,1331,0.0,2300.0
2023-01-16,9697,THU PHI CT ACB,1121,23000.0,23000.0
2023-01-17,11033,Thuế GTGT: THU PHI CT ACB,1331,0.0,2300.0
2023-01-17,11033,THU PHI CT ACB,1121,23000.0,23000.0
2023-01-30,1061,Thuế GTGT: Dịch vụ ngân hàng,1331,0.0,3000.0
2023-01-30,1061,Dịch vụ ngân hàng,1121,30000.0,30000.0
2023-02-05,152,Mực in 16A Numberone,1121,680000.0,680000.0
2023-02-05,152,Mực in 308 Number One,1121,960000.0,960000.0
2023-02-05,152,Mực in 30A NUmbe One,1121,600000.0,600000.0
2023-02-05,152,Mực In 325 Number One,1121,520000.0,520000.0
2023-02-06,85,Giá vốn (80%): Mực  in 308 Number One,632,0.0,334545.6
2023-02-07,20520,Thuế GTGT: THU PHI CT ACB,1331,0.0,2300.0
2023-02-07,20520,THU PHI CT ACB,1121,23000.0,23000.0
2023-02-07,547,Bộ vi xử lý vi tính Intel Core i3-13100F (BX8071513100FSRMBV) + Quạt,1121,2863636.0,2863636.0
2023-02-07,20519,Thuế GTGT: THU PHI CT ACB,1331,0.0,2300.0
2023-02-07,20519,THU PHI CT ACB,1121,23000.0,23000.0
2023-02-08,99,"Giá vốn (80%): Máy tính để bàn Dell OptiPlex 3000 Small Form Factor Intel® Core i5-12500 (6 Cores/18MB/12T/3.0GHzto 4.6GHz/65W), 8GB 3200MHz DDR4, 256GB SSD, Intel UHD Graphics , No DVD_RW, Ubuntu,",632,0.0,10603636.8
2023-02-09,107,Giá vốn (80%): Mực in 30A NUmber One,632,0.0,581818.4
2023-02-13,118,Giá vốn (80%): Mực  in 337 Number One,632,0.0,640000.0
2023-02-17,137,Giá vốn (80%): Thiết bị thu phát vô tuyến TP LINK  ARCHER AX23- AX1800Mbps,632,0.0,865454.4
2023-02-20,27273,Thuế GTGT: THU PHI CT ACB,1331,0.0,2300.0
2023-02-20,27273,THU PHI CT ACB,1121,23000.0,23000.0
2023-02-23,162,Giá vốn (80%): Mực in 308 Number One,632,0.0,320000.0
2023-02-27,2991,Dịch vụ ngân hàng,1121,30000.0,30000.0
2023-02-27,2991,Thuế GTGT: Dịch vụ ngân hàng,1331,0.0,3000.0
2023-03-02,35227,THU PHI CT Vietcombank,1121,25000.0,25000.0
2023-03-02,35227,Thuế GTGT: THU PHI CT Vietcombank,1331,0.0,2500.0
2023-03-03,196,Giá vốn (80%): Thẻ nhớ 64GB Micro SDXC Exceria UHS-I C10 U1 100MB/s Kioxia (Không có Adapter),632,0.0,3272727.2
2023-03-07,361,Hộp mực 76a Number One,1121,2400000.0,2400000.0
2023-03-10,68,"Thiết bị phụ trợ mạng Planet 17"" 8­Port Combo VGA LCD KVM Switch_KVM­210­08M",1121,16900000.0,16900000.0
2023-03-13,229,Giá vốn (80%): Thẻ nhớ 32GB Micro SDHC exceria UHS-I C10 U1 100mb/s Kioxia,632,0.0,145454.4
2023-03-16,247,Giá vốn (80%): Mực  in 337 Number One,632,0.0,320000.0
2023-03-20,256,Giá vốn (80%): Mực in 26A Number One,632,0.0,356364.0
2023-03-20,256,Giá vốn (80%): Mực  in 308 Number One,632,0.0,320000.0
2023-03-22,284,Giá vốn (80%): Thẻ nhớ 32GB Micro SDHC Exceria UHS -I C10 U1 100MB/s Kioxia,632,0.0,145454.4
