Ngày,Số HĐ,Diễn giải,TK Đ/Ứ,Nợ,Có
2023-07-23,48038030,Thu phi dich vu chuyen tien nhanh 180000 VND_920518,1111,163636.0,0
2023-07-23,48034953,Thu phi dich vu chuyen tien nhanh 180000 VND_920357,1111,163636.0,0
2023-08-06,7474,Phần mềm diệt virus Bkav Pro Internet Security Al,1111,3700000.0,0
2023-08-15,20595,Dây cáp mạng (cáp xoắn) để truyền tín hiệu và kết nối internet Ensoho EN-U6CA24 UTP cat6 (305m/hộp),1111,4527273.0,0
2023-09-14,9286,Phần mềm diệt virus Bkav Pro Internet Security Al,1111,185000.0,0
2023-10-25,11302,Phần mềm diệt virus Bkav Pro Internet Security Al,1111,370000.0,0
