Ngày,Số HĐ,Diễn giải,TK Đ/Ứ,Nợ,Có
2023-01-02,249,THU LAI VAY QUA HAN PDLD2229700440,6422,0.0,740536.0
2023-01-02,8,Máy chiếu đa năng ViewSonic PA503XE,6422,0.0,9000000.0
2023-01-02,254,THU LAI VAY QUA HAN PDLD2228500483,6422,0.0,738603.0
2023-01-02,2,Bộ chuyển đổi mini Displayport sang VGA + HDMI màu trắng Ugreen ( 10427),6422,0.0,290909.0
2023-01-02,2,"Cáp dữ liệu nối mạng CAT6 UTP, truyền dữ liệu giữa các máy tính, dài 10M Ugreen ( 11205)",6422,0.0,90909.0
2023-01-02,25,Máy in bill Epson TM-T82 III,6422,0.0,8610000.0
2023-01-02,32,Máy in laser Brother HL-L2321D,6422,0.0,260363638.0
2023-01-02,32,Máy in đa chức năng Brother MFC-L2701D,6422,0.0,9450909.0
2023-01-02,32,Máy in phun đa năng Brother DCP-T220,6422,0.0,25198836.0
2023-01-02,32,Máy in phun đa năng Brother DCP-T226 (màu trắng),6422,0.0,25198836.0
2023-01-02,32,Máy in phun đa năng Brother MFC-T920DW,6422,0.0,6596236.0
2023-01-02,32,Máy in laser Brother DCP-B7535DW,6422,0.0,29301818.0
2023-01-02,32,Mực in Brother TN-2385,6422,0.0,52380000.0
2023-01-02,32,Mực in Brother TN-B022,6422,0.0,4365000.0
2023-01-02,32,Trống từ Brother DR-2385,6422,0.0,11110909.0
2023-01-02,32,Trống từ Brother DR-B022,6422,0.0,5555455.0
2023-01-02,32,Mực in phun Brother BTD60BK BH17 ASA,6422,0.0,3492000.0
2023-01-02,32,Mực in phun Brother BT5000C,6422,0.0,2539636.0
2023-01-02,32,Mực in phun Brother BT5000M,6422,0.0,2539636.0
2023-01-02,32,Mực in phun Brother BT5000Y,6422,0.0,2539636.0
2023-01-02,263,THU LAI VAY QUA HAN PDLD2227000299,6422,0.0,523778.0
2023-01-02,262,THU LAI VAY QUA HAN PDLD2227200389,6422,0.0,488178.0
2023-01-02,261,THU LAI VAY QUA HAN PDLD2227300451,6422,0.0,441320.0
2023-01-02,260,THU LAI VAY QUA HAN PDLD2227700350,6422,0.0,1270908.0
2023-01-02,259,THU LAI VAY QUA HAN PDLD2228000535,6422,0.0,428468.0
2023-01-02,258,THU LAI VAY QUA HAN PDLD2228300453,6422,0.0,3702684.0
2023-01-02,257,THU LAI VAY QUA HAN PDLD2228400092,6422,0.0,740536.0
2023-01-02,250,THU LAI VAY QUA HAN PDLD2229700340,6422,0.0,740536.0
2023-01-02,251,THU LAI VAY QUA HAN PDLD2229200450,6422,0.0,707952.0
2023-01-02,41,Mực in Brother TN-2385,6422,0.0,8730000.0
2023-01-02,253,THU LAI VAY QUA HAN PDLD2228600465,6422,0.0,864872.0
2023-01-02,255,THU LAI VAY QUA HAN PDLD2228500024,6422,0.0,1046867.0
2023-01-02,273,THU LAI VAY QUA HAN PDLD2234700421,6422,0.0,1423057.0
2023-01-02,272,THU LAI VAY QUA HAN PDLD2235000387,6422,0.0,614371.0
2023-01-02,271,THU LAI VAY QUA HAN PDLD2235300287,6422,0.0,371091.0
2023-01-02,252,THU LAI VAY QUA HAN PDLD2229000275,6422,0.0,1418712.0
2023-01-02,269,THU LAI VAY QUA HAN PDLD2235600430,6422,0.0,219418.0
2023-01-02,268,THU LAI VAY QUA HAN PDLD2235700402,6422,0.0,287987.0
2023-01-02,267,THU LAI VAY QUA HAN PDLD2225700570,6422,0.0,937365.0
2023-01-02,266,THU LAI VAY QUA HAN PDLD2226300522,6422,0.0,1398792.0
2023-01-02,265,THU LAI VAY QUA HAN PDLD2226400456,6422,0.0,778197.0
2023-01-02,270,THU LAI VAY QUA HAN PDLD2235300450,6422,0.0,436259.0
2023-01-02,264,THU LAI VAY QUA HAN PDLD2226900375,6422,0.0,1119032.0
2023-01-03,5,Bộ chuyển đổi mini Displayport sang VGA + HDMI màu trắng Ugreen ( 10427),6422,0.0,290909.0
2023-01-03,2,Pin Alkaline AA Philips LR6P2B/97,6422,0.0,1592760.0
2023-01-03,5,"cáp dữ liệu nối mạng CAT6 UTP truyền dữ liệu giữa các máy tính, dài 10M Ugreen ( 11205)",6422,0.0,90909.0
2023-01-03,5,Cáp dữ liệu VIDEO HDMI 1.4 truyền âm thanh hình ảnh dài 25M có chipset Ugreen ( 10113),6422,0.0,963636.0
2023-01-03,2,Pin minicell Philips CR2025/01B,6422,0.0,130000.0
2023-01-03,2,Bộ chia cổng Cliptec RZH201,6422,0.0,818170.0
2023-01-03,2,Bộ chia cổng Cliptec RZH209,6422,0.0,818170.0
2023-01-05,88,"MÁY TÍNH ĐỂ BÀN HP 280 Pro G9 SFF (i5-12500 (6*3.0),8GB DDR4,256GB SSD,WL,BT,KB,M,W11SL_72K92PA)",6422,0.0,11081818.0
2023-01-05,1324,Thuế GTGT: Cước dịch vụ viễn thông trả sau (Dịch vụ chịu thuế),1331,0.0,23909.0
2023-01-05,1324,Cước dịch vụ viễn thông trả sau (Dịch vụ chịu thuế),6422,0.0,239090.0
2023-01-05,1845,"Máy tính để bàn Lenovo ThinkCentre neo 50s Gen 3, i3-12100, 4GB, 1TB, Intel UHD Graphics 730, ac+BT, KB, M, No OS, 1Y WTY_11T000ARVA",6422,0.0,14090908.0
2023-01-06,1929293,Thuế GTGT:  Thu Phi SMS thay doi so du thang  12/2022,1331,0.0,1818.0
2023-01-06,1929293,Thu Phi SMS thay doi so du thang  12/2022,6422,0.0,18182.0
2023-01-08,110,Tai nghe SoundMax AH314,6422,0.0,1800000.0
2023-01-08,110,Tai nghe SoundMax AH304,6422,0.0,1150000.0
2023-01-08,110,Loa SoundMax AS-6,6422,0.0,810000.0
2023-01-08,57,Ghế xoay Midnight EGC205  - E-Dra,6422,0.0,8704464.0
2023-01-08,57,Ghế xoay Citizen EGC200 - E-Dra,6422,0.0,12490082.0
2023-01-09,3000275,Trich thu Tien vay - Lai : 663014 - Acct vay 383583749,6422,0.0,663014.0
2023-01-09,11,Máy quét HP Scanjet Pro 3000 S4 Sheet-feed - WTY_6FW07A,6422,0.0,17181818.0
2023-01-09,3039252,Trich thu Tien vay - Lai : 11140822 - Acct vay 377993869,6422,0.0,11140822.0
2023-01-09,3023013,Trich thu Tien vay - Lai : 1084932 - Acct vay 383484139,6422,0.0,1084932.0
2023-01-10,14,"Thanh ram G.Skill F3-1600C11S-8GIS, 8GB",6422,0.0,500000.0
2023-01-10,15,"Thanh ram G.Skill F3-1600C11S-8GIS, 8GB",6422,0.0,5000000.0
