Ngày,Số HĐ,Diễn giải,TK Đ/Ứ,Nợ,Có
2023-01-05,1324,Thuế GTGT: Cước dịch vụ viễn thông trả sau (Dịch vụ chịu thuế),1111,23909.0,0
2023-01-05,1967,Thuế GTGT: THU PHI CT ACB,1121,2300.0,0
2023-01-06,1929293,Thuế GTGT:  Thu Phi SMS thay doi so du thang  12/2022,1111,1818.0,0
2023-01-10,5177,Thuế GTGT: THU PHI CT Vietcombank,1121,2300.0,0
2023-01-11,374,Thuế GTGT: THU PHI CK CTY CN QUOC GIA ADG TAI DN,1111,3600.0,0
2023-01-12,7663,Thuế GTGT: THU PHI CT ACB,1121,2300.0,0
2023-01-15,8318,Thuế GTGT: THU PHI CT Vietcombank,1121,2300.0,0
2023-01-16,9697,Thuế GTGT: THU PHI CT ACB,1121,2300.0,0
2023-01-17,11033,Thuế GTGT: THU PHI CT ACB,1121,2300.0,0
2023-01-18,671,Thuế GTGT: THU PHI CK CTY THE GIOI SO,1111,2800.0,0
2023-01-18,672,Thuế GTGT: THU PHI CK CTY PP TONG HOP DAU KHI,1111,1500.0,0
2023-01-29,13635,"Thuế GTGT: PHI T01/2023-040019911911-ALERT,IB,OTP,QLTK",1111,12500.0,0
2023-01-30,6637,Thuế GTGT: Không có tên,1111,22000.0,0
2023-01-30,1061,Thuế GTGT: Dịch vụ ngân hàng,1121,3000.0,0
2023-01-31,25965907,Thuế GTGT: Không có tên,1111,35000.0,0
2023-01-31,106579,Thuế GTGT: Cước dịch vụ Viễn thông-Công nghệ thông tin tháng 01 năm 2023,1111,35937.0,0
2023-01-31,106580,Thuế GTGT: Cước dịch vụ Viễn thông-Công nghệ thông tin tháng 01 năm 2023,1111,23451.0,0
2023-01-31,90977,Thuế GTGT: Cước dịch vụ Viễn thông-Công nghệ thông tin tháng 01 năm 2023,1111,24964.0,0
2023-01-31,60191,Thuế GTGT: Cước dịch vụ Viễn thông-Công nghệ thông tin tháng 01 năm 2023,1111,27400.0,0
2023-01-31,60146,Thuế GTGT: Cước dịch vụ Viễn thông-Công nghệ thông tin tháng 01 năm 2023,1111,2000.0,0
2023-01-31,60093,Thuế GTGT: Cước dịch vụ Viễn thông-Công nghệ thông tin tháng 01 năm 2023,1111,2455.0,0
2023-01-31,60092,Thuế GTGT: Cước dịch vụ Viễn thông-Công nghệ thông tin tháng 01 năm 2023,1111,2540.0,0
2023-01-31,59893,Thuế GTGT: Cước dịch vụ Viễn thông-Công nghệ thông tin tháng 01 năm 2023,1111,21364.0,0
2023-01-31,106678,Thuế GTGT: Cước dịch vụ Viễn thông-Công nghệ thông tin tháng 01 năm 2023,1111,37422.0,0
2023-01-31,746,Thuế GTGT: TP CK CTY TH VIEN SON,1111,8000.0,0
2023-02-02,816,Thuế GTGT: THU PHI CK CTY VINH XUAN,1111,2300.0,0
2023-02-02,815,Thuế GTGT: THU PHI CK CTY VIEN SON,1111,4000.0,0
2023-02-05,83499,Thuế GTGT: Cước dịch vụ viễn thông trả sau (Dịch vụ chịu thuế),1111,23682.0,0
2023-02-07,20520,Thuế GTGT: THU PHI CT ACB,1121,2300.0,0
2023-02-07,20519,Thuế GTGT: THU PHI CT ACB,1121,2300.0,0
2023-02-10,10185604,Thuế GTGT:  Thu Phi SMS thay doi so du thang  01/2023,1111,1818.0,0
2023-02-12,987,Thuế GTGT: THU PHI CK CTY VIEN SON,1111,6000.0,0
2023-02-12,986,Thuế GTGT: THU PHI CK CTY THE GIOI SO,1111,4000.0,0
2023-02-12,983,Thuế GTGT: THU PHI CK CTY VINH XUAN,1111,2300.0,0
2023-02-12,988,Thuế GTGT: THU PHI CK CTY VIET SON,1111,2300.0,0
2023-02-13,1037,Thuế GTGT: TP CK GN CTY HUETRONICS,1111,2478.0,0
2023-02-16,1109,Thuế GTGT: TP CK CTY KT CN NAM THANH,1111,2863.0,0
2023-02-19,1152,Thuế GTGT: THU PHI CK CTY CN ADG TAI DN,1111,4000.0,0
2023-02-19,1151,Thuế GTGT: THU PHI CK CTY CP TG SO,1111,4000.0,0
2023-02-20,1190,Thuế GTGT: THU PHI CK CTY VIEN SON,1111,4000.0,0
